Area,Status,Floor,Transaction,Furnishing,Car Parking,Bathroom,Balcony,price,BHK_type,Address,Type,luxury_type
450.0,Ready to Move,high level,Resale,Semi-Furnished,1 Covered,1.0,2.0,1.55,1,Wadala Mumbai,Apartment,semi luxury
511.0,Ready to Move,low level,New Property,Semi-Furnished,1 Covered,1.0,2.0,1.99,1,Wadala East Mumbai,Apartment,luxury
504.0,Under Construction,medium level,New Property,Unfurnished,1 Covered,2.0,2.0,1.36,1,Goregaon East Mumbai,Apartment,non luxury
400.0,Under Construction,high level,New Property,Unfurnished,Unknown,2.0,2.0,0.66,1,Mira Road Mumbai,Apartment,semi luxury
400.0,Under Construction,low level,New Property,Unfurnished,1 Covered,1.0,1.0,0.65,1,Mira Road Mumbai,Apartment,semi luxury
560.0,Ready to Move,high level,New Property,Semi-Furnished,1 Covered,2.0,3.0,0.65,1,Mira Road Mumbai,Apartment,luxury
437.0,Ready to Move,high level,Resale,Unfurnished,1 Covered,2.0,1.0,1.3,1,Kandivali West Mumbai,Apartment,semi luxury
484.0,Under Construction,high level,Resale,Semi-Furnished,1 Covered,2.0,1.0,0.6,1,Mumbai,Apartment,luxury
425.0,Under Construction,medium level,New Property,Unfurnished,1 Covered,1.0,1.0,0.91,1,Kandivali West Mumbai,Apartment,semi luxury
459.0,Ready to Move,medium level,New Property,Unfurnished,Unknown,2.0,3.0,0.71,1,Mira Road Mumbai,Apartment,semi luxury
323.0,Under Construction,low level,New Property,Unfurnished,1 Covered,1.0,1.0,0.72,1,Malad East Mumbai,Apartment,semi luxury
325.0,Ready to Move,high level,Resale,Furnished,Unknown,2.0,1.0,1.21,1,Mazgaon Mumbai,Apartment,semi luxury
390.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,0.81,1,Kurla East Mumbai,Apartment,semi luxury
463.0,Under Construction,low level,New Property,Unfurnished,1 Covered,1.0,1.0,1.08,1,Jogeshwari East Mumbai,Apartment,non luxury
426.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,2.0,1.35,1,Andheri East Mumbai,Apartment,non luxury
433.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,2.0,1.34,1,Malad West Mumbai,Apartment,non luxury
400.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,2.0,0.52,1,Virar West Mumbai,Apartment,non luxury
439.0,Under Construction,low level,New Property,Unfurnished,1 Covered,1.0,1.0,1.49,1,Mumbai,Apartment,semi luxury
632.0,Ready to Move,high level,New Property,Unfurnished,1 Covered,2.0,3.0,1.15,1,Kandivali West Mumbai,Apartment,semi luxury
439.0,Under Construction,high level,New Property,Unfurnished,1 Covered,2.0,1.0,1.48,1,Andheri East Mumbai,Apartment,semi luxury
474.0,Under Construction,medium level,Resale,Unfurnished,1 Covered,1.0,1.0,1.23,1,Jogeshwari West Mumbai,Apartment,semi luxury
395.0,Ready to Move,medium level,Resale,Semi-Furnished,Unknown,1.0,1.0,0.97,1,Mumbai,Apartment,semi luxury
435.0,Ready to Move,low level,Resale,Unfurnished,1 Covered,2.0,1.0,1.5,1,Andheri East Mumbai,Apartment,semi luxury
511.0,Ready to Move,high level,Resale,Semi-Furnished,1 Covered,1.0,1.0,1.99,1,Wadala Mumbai,Apartment,semi luxury
700.0,Ready to Move,medium level,Resale,Unfurnished,Unknown,2.0,1.0,1.25,1,Wadala East Mumbai,Apartment,luxury
435.0,Ready to Move,medium level,Resale,Furnished,1 Covered,2.0,2.0,1.55,1,Andheri East Mumbai,Apartment,semi luxury
421.0,Ready to Move,low level,New Property,Unfurnished,1 Covered,1.0,1.0,1.85,1,Vile Parle East Mumbai,Apartment,semi luxury
431.0,Ready to Move,medium level,Resale,Unfurnished,1 Covered,2.0,1.0,1.7,1,Borivali West Mumbai,Apartment,semi luxury
482.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,0.84,1,Vikhroli West Mumbai,Apartment,non luxury
510.0,Ready to Move,low level,Resale,Semi-Furnished,1 Open,2.0,1.0,2.1,1,Matunga East Mumbai,Apartment,semi luxury
485.0,Ready to Move,high level,Resale,Unfurnished,1 Covered,2.0,1.0,1.3,1,Malad West Mumbai,Apartment,luxury
457.0,Ready to Move,high level,New Property,Unfurnished,1 Covered,2.0,1.0,1.08,1,Mumbai,Apartment,luxury
382.0,Ready to Move,medium level,Resale,Semi-Furnished,1 Covered,1.0,2.0,1.55,1,Powai Mumbai,Apartment,semi luxury
550.0,Ready to Move,low level,Resale,Semi-Furnished,1 Covered,1.0,1.0,2.2,1,Vile Parle East Mumbai,Apartment,semi luxury
380.0,Ready to Move,medium level,Resale,Unfurnished,Unknown,2.0,1.0,1.0,1,Mumbai,Apartment,luxury
411.0,Under Construction,medium level,New Property,Unfurnished,1 Covered,2.0,3.0,0.65,1,Bhayandar East Mumbai,Apartment,luxury
457.0,Ready to Move,medium level,Resale,Unfurnished,Unknown,2.0,1.0,0.67,1,Mira Road Mumbai,Apartment,semi luxury
418.0,Under Construction,high level,New Property,Unfurnished,1 Open,2.0,1.0,0.91,1,Mumbai,Apartment,semi luxury
384.0,Ready to Move,low level,Resale,Semi-Furnished,1 Covered,1.0,2.0,1.48,1,Powai Mumbai,Apartment,semi luxury
415.0,Ready to Move,high level,Resale,Unfurnished,Unknown,2.0,2.0,1.25,1,Bhandup West Mumbai,Apartment,semi luxury
427.0,Under Construction,medium level,New Property,Unfurnished,1 Covered,2.0,1.0,1.24,1,Vikhroli West Mumbai,Apartment,semi luxury
420.0,Ready to Move,low level,Resale,Semi-Furnished,1 Covered,1.0,1.0,1.48,1,Jogeshwari East Mumbai,Apartment,semi luxury
511.0,Ready to Move,low level,Resale,Semi-Furnished,1 Covered,1.0,2.0,1.78,1,Wadala Mumbai,Apartment,luxury
472.0,Ready to Move,high level,New Property,Unfurnished,1 Covered,1.0,1.0,1.35,1,Mumbai,Apartment,luxury
467.0,Under Construction,low level,New Property,Unfurnished,1 Covered,1.0,2.0,1.57,1,Andheri West Mumbai,Apartment,non luxury
