Area,Status,Floor,Transaction,Furnishing,Society,Car Parking,Bathroom,Balcony,price,BHK_type,Address,Type,Main Road,Pool,Garden/Park,pricepersqft
406.0,Under Construction,0.0,New Property,Unfurnished,Raghukul Chsl,Unknown,2.0,1.0,0.99,1,Dahisar East Mumbai,Apartment,0,0,0,2438.42
440.0,Under Construction,0.0,New Property,Unfurnished,Ruchita Bliss,Unknown,2.0,3.0,0.41,1,Nalasopara West Mumbai,Apartment,0,0,0,931.82
716.0,Under Construction,0.0,New Property,Unfurnished,Joyville Virar,Unknown,1.0,1.0,0.65,1,Virar Mumbai,Apartment,0,0,0,907.82
380.0,Under Construction,0.0,New Property,Unfurnished,71 Midtown,Unknown,1.0,1.0,0.92,1,Chembur Mumbai,Apartment,0,0,0,2421.05
400.0,Under Construction,0.0,New Property,Unfurnished,Joyville Virar,Unknown,1.0,1.0,0.36,1,Virar Mumbai,Apartment,0,0,0,900.0
544.0,Under Construction,0.0,New Property,Unfurnished,Kanakia Silicon Valley,Unknown,2.0,1.0,2.3,1,Powai Mumbai,Apartment,1,1,1,4227.94
439.0,Under Construction,0.0,New Property,Unfurnished,Kalpataru Vivant,Unknown,2.0,2.0,1.13,1,Unknown,Apartment,1,0,0,2574.03
425.0,Under Construction,0.0,New Property,Unfurnished,S3 Skygreens,Unknown,2.0,2.0,0.6,1,Mira Road East Mumbai,Apartment,1,0,1,1411.76
432.0,Under Construction,0.0,New Property,Unfurnished,Mahindra Vista,Unknown,2.0,1.0,1.19,1,Unknown,Apartment,0,1,1,2754.63
441.0,Under Construction,0.0,New Property,Unfurnished,Aristone The Hyde Park,Unknown,2.0,3.0,0.78,1,Mira Road East Mumbai,Apartment,0,0,0,1768.71
490.0,Under Construction,0.0,New Property,Unfurnished,Umiya Oasis,Unknown,2.0,1.0,0.59,1,Mira Road Area Mumbai,Apartment,0,0,0,1204.08
413.0,Under Construction,0.0,New Property,Unfurnished,Godrej Bliss,Unknown,1.0,1.0,1.1,1,Kandivali East Mumbai,Apartment,0,0,0,2663.44
409.0,Under Construction,0.0,New Property,Unfurnished,78 Lake Town,Unknown,2.0,1.0,0.84,1,Bhandup West Mumbai,Apartment,0,0,0,2053.79
435.0,Under Construction,0.0,New Property,Unfurnished,Ruparel Panache,Unknown,2.0,2.0,2.39,1,Santacruz West Mumbai,Apartment,0,0,1,5494.25
466.0,Under Construction,0.0,New Property,Unfurnished,Sanghvi Ecocity,Unknown,2.0,3.0,0.71,1,Mira Road Area Mumbai,Apartment,0,0,0,1523.61
448.0,Under Construction,0.0,New Property,Unfurnished,EMPIRE VRINDAVAN,Unknown,2.0,1.0,1.05,1,Borivali East Mumbai,Apartment,0,0,0,2343.75
419.0,Under Construction,0.0,New Property,Unfurnished,DPS Nakshatra Heights,Unknown,2.0,1.0,0.88,1,Kandivali West Mumbai,Apartment,0,0,1,2100.24
353.0,Under Construction,0.0,New Property,Unfurnished,Lodha Unica,Unknown,2.0,1.0,1.28,1,Jogeshwari Mumbai,Apartment,0,0,0,3626.06
401.0,Under Construction,0.0,New Property,Unfurnished,Runwal Avenue,Unknown,1.0,1.0,1.16,1,Kanjurmarg East Mumbai,Apartment,1,0,1,2892.77
391.0,Under Construction,0.0,New Property,Unfurnished,34 Park Estate,Unknown,2.0,1.0,1.24,1,Goregaon West Mumbai,Apartment,1,1,1,3171.36
373.0,Under Construction,0.0,New Property,Unfurnished,Nakashtra Auris,Unknown,2.0,3.0,0.37,1,Nalasopara West Mumbai,Apartment,0,0,0,991.96
500.0,Under Construction,0.0,New Property,Unfurnished,Suraj Park View,Unknown,2.0,1.0,2.5,1,Dadar West Mumbai,Apartment,0,0,0,5000.0
415.0,Under Construction,0.0,New Property,Unfurnished,Kanakia Beverly Heights,Unknown,1.0,2.0,0.64,1,Bhayandar East Mumbai,Apartment,1,1,1,1542.17
428.0,Under Construction,0.0,New Property,Unfurnished,Hitendra Dhamm Shabha Co Operative Housing,Unknown,1.0,2.0,1.21,1,Unknown,Apartment,0,0,0,2827.1
428.0,Under Construction,0.0,New Property,Unfurnished,Hitendra Dhamm Shabha Co Operative Housing,Unknown,1.0,1.0,1.21,1,Unknown,Apartment,0,0,0,2827.1
399.0,Under Construction,0.0,New Property,Unfurnished,Shreeji Tapovan,Unknown,2.0,1.0,0.81,1,Malad East Mumbai,Apartment,0,0,0,2030.08
480.0,Under Construction,0.0,New Property,Unfurnished,The Baya Sunrise,Unknown,2.0,1.0,1.82,1,Dadar East Mumbai,Apartment,1,0,1,3791.67
424.0,Under Construction,0.0,New Property,Unfurnished,Kalpataru Vivant,Unknown,1.0,1.0,1.43,1,Unknown,Apartment,1,0,0,3372.64
407.0,Under Construction,0.0,New Property,Semi-Furnished,RNA NG Bliss,Unknown,2.0,1.0,0.84,1,Mira Road East Mumbai,Apartment,0,0,0,2063.88
446.0,Ready to Move,0.0,New Property,Unfurnished,Abrol Signature,1 Covered,2.0,2.0,0.94,1,Malad West Mumbai,Apartment,0,0,0,2107.62
608.0,Under Construction,0.0,New Property,Unfurnished,CentrioNX,1 Covered,2.0,1.0,1.27,1,Govandi Mumbai,Apartment,0,0,0,2088.82
460.0,Under Construction,0.0,New Property,Semi-Furnished,Alfa Mana A M Residency,1 Covered,1.0,2.0,1.45,1,Mazgaon Mumbai,Apartment,1,0,0,3152.17
440.0,Under Construction,15.0,New Property,Semi-Furnished,Ruchita Bliss,1 Covered,2.0,2.0,0.4,1,Nalasopara West Mumbai,Apartment,0,0,0,909.09
452.0,Under Construction,0.0,New Property,Unfurnished,Satra Nexus,Unknown,1.0,1.0,0.96,1,Jogeshwari East Mumbai,Apartment,0,0,0,2123.89
420.0,Under Construction,0.0,New Property,Semi-Furnished,Satre Happynest,Unknown,1.0,2.0,0.89,1,Kanjurmarg East Mumbai,Apartment,1,1,1,2119.05
410.0,Under Construction,0.0,New Property,Unfurnished,Swastik Coral,1 Covered,2.0,1.0,0.92,1,Vikhroli East Mumbai,Apartment,0,0,0,2243.9
390.0,Under Construction,0.0,New Property,Unfurnished,Ruparel Urbana,Unknown,2.0,2.0,0.8,1,Kurla Mumbai,Apartment,1,0,1,2051.28
365.0,Under Construction,0.0,New Property,Unfurnished,Midtown Bay,1 Covered,2.0,2.0,1.65,1,Mahim Mumbai,Apartment,0,0,0,4520.55
475.0,Under Construction,6.0,New Property,Semi-Furnished,Silicon Hofe,1 Covered,2.0,2.0,1.04,1,Chembur Mumbai,Apartment,1,0,0,2189.47
453.0,Ready to Move,27.0,Resale,Unfurnished,Piramal Revanta,1 Covered,2.0,1.0,1.35,1,Mulund West Mumbai,Apartment,0,0,1,2980.13
474.0,Ready to Move,13.0,Resale,Semi-Furnished,Piramal Revanta,1 Covered,1.0,1.0,1.31,1,Mulund West Mumbai,Apartment,1,1,1,2763.71
356.0,Under Construction,11.0,New Property,Unfurnished,Prince Krishna Kunj Phase 1,1 Covered,2.0,1.0,0.98,1,Unknown,Apartment,1,0,1,2752.81
429.0,Ready to Move,0.0,New Property,Unfurnished,Naman Premier,1 Covered,2.0,2.0,1.39,1,Andheri East Mumbai,Apartment,1,0,0,3240.09
433.0,Under Construction,5.0,New Property,Unfurnished,Mahindra Vista,1 Covered,2.0,1.0,1.08,1,Unknown,Apartment,0,1,1,2494.23
381.0,Ready to Move,5.0,Resale,Semi-Furnished,Veridian at Emerald Isle,1 Covered,2.0,2.0,1.4,1,Powai Mumbai,Apartment,0,0,1,3674.54
427.0,Ready to Move,5.0,Resale,Unfurnished,Godrej Tranquil,1 Covered,2.0,1.0,1.0,1,Kandivali East Mumbai,Apartment,1,1,1,2341.92
511.0,Ready to Move,12.0,Resale,Unfurnished,Lodha Gardenia,1 Covered,1.0,2.0,1.75,1,Wadala East Mumbai,Apartment,0,0,1,3424.66
418.0,Ready to Move,12.0,Resale,Unfurnished,Kanakia Zen World,1 Covered,1.0,2.0,1.15,1,Kanjurmarg East Mumbai,Apartment,1,0,0,2751.2
435.0,Ready to Move,19.0,Resale,Unfurnished,Laxmi Shrushti,Unknown,2.0,2.0,1.15,1,Goregaon West Mumbai,Apartment,1,0,0,2643.68
480.0,Under Construction,11.0,New Property,Semi-Furnished,Sanghvi S3 Skyrise,1 Open,2.0,3.0,0.64,1,Mira Road East Mumbai,Apartment,1,1,1,1333.33
600.0,Under Construction,20.0,New Property,Semi-Furnished,Hubtown Celeste,1 Covered,2.0,1.0,1.95,1,Worli Mumbai,Apartment,0,0,1,3250.0
450.0,Under Construction,12.0,New Property,Unfurnished,Magathane Press Enclave,Unknown,2.0,2.0,1.15,1,Borivali East Mumbai,Apartment,1,0,1,2555.56
450.0,Ready to Move,12.0,Resale,Semi-Furnished,Lodha New Cuffe Parade,1 Covered,1.0,2.0,1.55,1,Wadala Mumbai,Apartment,1,0,1,3444.44
511.0,Ready to Move,0.0,New Property,Semi-Furnished,Lodha New Cuffe Parade,1 Covered,1.0,2.0,1.99,1,Wadala East Mumbai,Apartment,1,1,1,3894.32
504.0,Under Construction,5.0,New Property,Unfurnished,Mahant Sahyadree,1 Covered,2.0,2.0,1.36,1,Goregaon East Mumbai,Apartment,0,0,0,2698.41
400.0,Under Construction,14.0,New Property,Unfurnished,Shree Ram Krishna Garden,Unknown,2.0,2.0,0.66,1,Mira Road East Mumbai,Apartment,1,0,1,1650.0
400.0,Under Construction,2.0,New Property,Unfurnished,Shree Ram Krishna Garden,1 Covered,1.0,1.0,0.65,1,Mira Road East Mumbai,Apartment,1,0,1,1625.0
560.0,Ready to Move,20.0,New Property,Semi-Furnished,Raj Akshay,1 Covered,2.0,3.0,0.65,1,Mira Road East Mumbai,Apartment,1,1,1,1160.71
437.0,Ready to Move,12.0,Resale,Unfurnished,Royal Samarpan,1 Covered,2.0,1.0,1.3,1,Kandivali West Mumbai,Apartment,1,0,1,2974.83
484.0,Under Construction,20.0,Resale,Semi-Furnished,Siddhivinayak Aura,1 Covered,2.0,1.0,0.6,1,Unknown,Apartment,1,1,1,1239.67
425.0,Under Construction,9.0,New Property,Unfurnished,Orion Heights,1 Covered,1.0,1.0,0.91,1,Kandivali West Mumbai,Apartment,1,0,1,2141.18
459.0,Ready to Move,6.0,New Property,Unfurnished,Unique Estate,Unknown,2.0,3.0,0.71,1,Mira Road East Mumbai,Apartment,1,0,1,1546.84
323.0,Under Construction,0.0,New Property,Unfurnished,Royal Pristo,1 Covered,1.0,1.0,0.72,1,Malad East Mumbai,Apartment,1,0,0,2229.1
325.0,Ready to Move,11.0,Resale,Furnished,Redstone Saifee Park,Unknown,2.0,1.0,1.21,1,Mazgaon Mumbai,Apartment,1,0,0,3723.08
